FriendDeck,EnemyDeck,WinnerDeck
191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Enemy
1047,191,141,41,906,739,41,608,67,296,1653,635,622,90,90,995,995,308,308,523,635,292,1140,1140,1241,699,1686,753,753,712,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Enemy
191,648,191,1047,141,132,389,41,216,1653,296,339,257,437,1653,296,437,289,635,1003,995,1140,768,496,699,670,157,525,525,753,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Friend
191,510,132,606,510,877,739,284,1369,284,67,437,1401,289,437,308,995,995,90,582,582,670,699,496,768,525,753,753,712,712,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Friend
191,510,877,191,648,389,922,216,739,216,672,339,175,1182,1182,257,289,1003,1003,90,523,90,292,523,699,1241,445,1686,712,712,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Friend
606,132,1047,877,877,606,510,389,132,284,739,739,296,175,339,175,296,292,1370,1370,308,635,670,1140,496,157,445,1686,1687,1687,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Friend
1047,132,389,877,922,389,216,672,672,284,339,1401,437,339,1401,1653,1003,1003,90,995,292,670,699,496,1140,157,1686,157,1687,753,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Enemy
877,922,1047,922,284,41,284,216,41,906,976,257,257,289,175,175,339,296,437,1003,635,523,622,90,670,1140,1140,768,753,1687,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Enemy
922,922,141,132,132,1369,216,284,175,608,339,339,67,257,608,67,257,289,296,1401,523,635,622,582,670,1140,670,1140,157,157,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Friend
922,877,606,389,606,141,922,739,672,284,976,216,289,296,1653,296,1182,292,308,292,622,995,1003,523,670,699,699,768,753,1687,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Enemy
191,389,141,877,877,191,132,606,606,672,284,976,1369,1369,739,339,257,296,175,90,635,308,635,308,523,768,1686,753,712,712,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Friend
877,877,141,132,510,922,648,216,739,739,216,175,1401,67,1401,67,339,635,635,292,1370,582,582,1241,496,413,157,1686,753,712,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Friend
606,191,648,141,922,141,739,284,976,739,284,906,41,296,289,608,339,608,289,296,67,437,339,292,308,413,670,1241,1686,525,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Friend
606,922,132,510,648,141,510,41,976,216,41,437,437,289,257,289,1653,296,1182,523,1370,90,635,523,308,496,670,157,712,1687,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Friend
1047,191,1047,389,877,877,739,906,976,906,1369,672,296,289,339,67,175,1003,292,1370,523,308,670,699,1140,1241,699,582,1241,1687,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Friend
389,389,132,510,1047,41,284,1369,739,437,1401,339,1401,339,523,90,1370,995,622,635,995,582,699,1140,670,1140,445,157,1687,753,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Enemy
877,1047,132,922,739,41,906,216,41,216,67,289,257,296,1182,257,1653,1182,635,292,413,496,670,413,157,1686,712,1687,712,1687,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Friend
606,141,141,510,132,510,216,739,976,739,1369,1653,608,175,289,437,339,523,1370,635,523,496,582,699,1241,768,496,525,445,157,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Friend
922,191,191,132,672,906,739,284,216,284,175,257,437,608,1401,292,635,635,1370,622,523,1140,1140,582,768,1686,157,712,1687,712,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Enemy
606,606,877,141,672,41,739,608,1653,437,1653,67,257,257,90,635,995,90,1370,1003,292,670,496,670,582,157,1687,753,712,712,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Enemy
648,648,877,191,141,739,976,1369,739,672,976,437,339,175,175,995,995,635,292,1003,635,670,768,413,768,1686,157,712,753,1687,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Friend
141,1047,389,606,877,922,648,284,1369,739,41,41,67,339,1401,257,1653,1401,257,67,437,1370,1003,1140,699,768,670,699,1687,1687,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Friend
922,191,132,606,191,648,606,976,284,216,608,1182,257,1653,296,1653,1370,1370,90,523,995,308,995,1241,1140,413,699,445,525,1686,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Friend
606,922,648,510,141,877,141,739,284,672,216,257,296,339,296,608,523,90,1370,308,1140,1140,1241,670,699,582,413,1686,157,753,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Enemy
191,922,389,606,672,216,1369,739,976,976,216,1182,437,257,437,67,292,1003,635,413,1140,413,496,699,445,445,712,1687,753,712,191,141,648,877,389,976,672,41,1653,608,1401,292,1370,90,523,622,1140,413,699,413,768,1241,582,496,699,445,525,712,1687,1687,Friend
